,,,
画面タイトル,入力項目,予算値,実績
店舗（固定/変動）,地代家賃,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
費用予算設定（固定予算）,固定人件費（デフォ,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,減価償却費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,資材費（デフォ,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,販売促進費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,メニューコピー,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,調査費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,衛生費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,サービス費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,電気代,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,ガス代,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,水道代,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,消耗品費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,保守修繕費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,租税公課,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,接待交際費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,旅費交通費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,通信費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,ｸﾚｼﾞｯﾄ手数料,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,支払手数料,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,会議費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,諸会費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,図書教育費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,研修費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,業態研究費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,採用費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,IT費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,外注費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
,雑費,設定タイプ（固定費用予算or変動費用予算）設定された入力値、入力％,費用実績入力画面から入力
予算設定（変動費用）,変動費予算,費用設定の変動費設定値の集計値,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,固定費用予算,費用設定の固定費設定値の集計値,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,目標月次利益,ユーザー入力値,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,FD仕入費率,ユーザー入力％,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,PA人件費率,ユーザー入力％,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,目標客単価（税抜）,ユーザー入力値,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,目標客数,自動計算（セルB34からB38の変数設定とMQシミュレーション（セルB44からB57）で自動計算）,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,ランチ売上比率,売上構成比設定のユーザー入力％,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,ディナー売上比率,売上構成比設定のユーザー入力％,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,フード売上比率,売上構成比設定のユーザー入力％,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,ドリンク売上比率,売上構成比設定のユーザー入力％,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,その他売上比率,売上構成比設定のユーザー入力％,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,客単価,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,変動費単価,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,変動費率,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,FD仕入費率,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,PA人件費率,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,変動費用予算,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,粗利単価,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,粗利率,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,客数,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,売上（税抜）,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,変動費,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,粗利,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,固定費用予算,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される
,利益（営業利益）,セルB 34からB45の入力項目により自動計算されるMQシミュレーション,外部連携POSやインフォマートなどやラクミー内部設定マスタ、ラクミー内部演算で導出される